hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg,tissue_areal_density_mg_per_cm2
HP3-1,HP3-20230905,BM0723PE1116,DS-0803-3-1,DS-0803-3,0.142862249,0.05516139,,,0.284215414,0.109740099,13.905,29.56966214
HP3-2,HP3-20230905,BM0723PE1116,DS-0803-3-2,DS-0803-3,0.142862249,0.05516139,,,0.284215414,0.109740099,13.925,29.56966214
HP3-3,HP3-20230905,BM0723PE1116,DS-0803-3-3,DS-0803-3,0.142862249,0.05516139,,,0.284215414,0.109740099,14.86,29.56966214
HP3-4,HP3-20230905,BM0723PE1116,DS-0803-1-4,DS-0803-1,0.100788089,0.032159952,,,0.200511531,0.063980192,14.52,27.70456515
HP3-5,HP3-20230905,BM0723PE1116,DS-0803-1-5,DS-0803-1,0.100788089,0.032159952,,,0.200511531,0.063980192,12.89,27.70456515
HP3-6,HP3-20230905,BM0723PE1116,DS-0803-1-6,DS-0803-1,0.100788089,0.032159952,,,0.200511531,0.063980192,13.55,27.70456515
HP3-7,HP3-20230905,BM0723PE1116,DS-0803-1-1,DS-0803-1,0.100788089,0.032159952,,,0.200511531,0.063980192,14.33,27.70456515
HP3-8,HP3-20230905,BM0723PE1116,DS-0803-1-2,DS-0803-1,0.100788089,0.032159952,,,0.200511531,0.063980192,15.395,27.70456515
HP3-9,HP3-20230905,BM0723PE1116,DS-0803-1-3,DS-0803-1,0.100788089,0.032159952,,,0.200511531,0.063980192,12.87,27.70456515
HP3-10,HP3-20230905,BM0723PE1116,DS-0803-2-1,DS-0803-2,0.169937014,0.071907124,,,0.338078947,0.143054678,14.56,30.64064227
HP3-11,HP3-20230905,BM0723PE1116,DS-0803-2-2,DS-0803-2,0.169937014,0.071907124,,,0.338078947,0.143054678,16.775,30.64064227
HP3-12,HP3-20230905,BM0723PE1116,DS-0803-2-3,DS-0803-2,0.169937014,0.071907124,,,0.338078947,0.143054678,14.43,30.64064227
HP3-13,HP3-20230905,BM0723PE1116,DS-0803-2-4,DS-0803-2,0.169937014,0.071907124,,,0.338078947,0.143054678,16.27,30.64064227
HP3-14,HP3-20230905,BM0723PE1116,DS-0803-2-5,DS-0803-2,0.169937014,0.071907124,,,0.338078947,0.143054678,14.915,30.64064227
HP3-15,HP3-20230905,BM0723PE1116,DS-0803-2-6,DS-0803-2,0.169937014,0.071907124,,,0.338078947,0.143054678,15.46,30.64064227
HP3-16,HP3-20230905,BM0723PE1116,DS-0803-3-4,DS-0803-3,0.142862249,0.05516139,,,0.284215414,0.109740099,16.485,29.56966214
HP3-17,HP3-20230905,BM0723PE1116,DS-0803-3-5,DS-0803-3,0.142862249,0.05516139,,,0.284215414,0.109740099,15.03,29.56966214
HP3-18,HP3-20230905,BM0723PE1116,DS-0803-3-6,DS-0803-3,0.142862249,0.05516139,,,0.284215414,0.109740099,14.975,29.56966214
HP21-1,HP21-20231027,,dig_TGFBS231012,dig_TGFBS231012,,,0.0040777,,,,,
HP21-2,HP21-20231027,,dig_TGFBS231005,dig_TGFBS231005,,,0.003760018,,,,,
HP21-3,HP21-20231027,,dig_TGFBS230927,dig_TGFBS230927,,,0.003618827,,,,,
HP21-4,HP21-20231027,,20230928-3-_media_dig_D28,20230928-3-_media_dig_D28,,,0.008436992,,,,,
HP21-5,HP21-20231027,,20230928-3-_media_dig_D25,20230928-3-_media_dig_D25,,,0.00711332,,,,,
HP21-6,HP21-20231027,,20230928-3-_media_dig_D21,20230928-3-_media_dig_D21,,,0.008189906,,,,,
HP21-7,HP21-20231027,,dig_TGFBS231012D,dig_TGFBS231012D,,,0.002754028,,,,,
